kept_record,merged_records,normalized_name,rule_applied,fields_preserved,note
OPS_000083,['REC_000169'],311,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'URL', 'ParentOrganization', 'NYCReportingLine', 'AuthorizingAuthority', 'Notes', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - WeGov', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, Notes, Name - WeGov, ParentOrganization, PreliminaryOrganizationType, AuthorizingAuthority, NYCReportingLine, NameWithAcronym, NameAlphabetized, URL, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000149,['REC_000002'],archival review board,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'ParentOrganization', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'FoundingYear', 'URISlug', 'DateCreated', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, ParentOrganization, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000152,['REC_000005'],audit committee,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'FoundingYear', 'URISlug', 'DateCreated', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, Acronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000167,['REC_000006'],board of correction,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000390,['REC_000008'],board of elections,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - NYC Open Data Portal, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000168,['REC_000009'],board of health,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'FoundingYear', 'URISlug', 'DateCreated', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000172,['REC_000010'],board of standards and appeals,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'Name - Greenbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, Name - ODA, Description, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000157,['REC_000014'],brooklyn bridge park corporation,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'URL', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'Acronym', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - Greenbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationURL, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, Name - Greenbook, NameWithAcronym, Acronym, NameAlphabetized, URL, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000166,['REC_000015'],brooklyn navy yard development corporation,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'AuthorizingAuthority', 'Acronym', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - ODA', 'Name - Greenbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, URL, Name - ODA, Name - NYC.gov Agency List, URISlug, Description, PreliminaryOrganizationType, Acronym, PrincipalOfficerTitle, DateCreated, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000164,['REC_000017'],business integrity commission,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'ParentOrganization', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, ParentOrganization, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000193,['REC_000019'],campaign finance board,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000201,['REC_000021'],charter revision commission,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'PrincipalOfficerTitle', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - ODA', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, LegalCitationText, NYCReportingLine, Name - ODA, URL, Name - NYC.gov Agency List, URISlug, Description, PreliminaryOrganizationType, Acronym, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000012,['REC_000260'],chief climate officer,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'ParentOrganization', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'FoundingYear', 'URISlug', 'DateCreated', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, ParentOrganization, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000182,['REC_000024'],child care advisory board,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'FoundingYear', 'URISlug', 'DateCreated', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000399,['REC_000026'],city council,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, Name - NYC Open Data Portal, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, Name - Greenbook, FoundingYear, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000200,['REC_000027'],city planning commission,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - WeGov', 'Name - Greenbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, Name - WeGov, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, Name - Greenbook, NYCReportingLine, NameWithAcronym, NameAlphabetized, URL, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000191,['REC_000030'],civic engagement commission,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'ParentOrganization', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, ParentOrganization, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, Name - ODA, Description, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000207,['REC_000031'],civil service commission,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000086,['REC_000032'],civilian complaint review board,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
